iter	Logloss
0	0.6858923228
1	0.6775363097
2	0.6720722347
3	0.6646785958
4	0.6577331319
5	0.652273959
6	0.6472598507
7	0.6408807292
8	0.6336065066
9	0.6265545402
10	0.6195352549
11	0.6150261158
12	0.6100252929
13	0.6060638866
14	0.6002685023
15	0.5955919777
16	0.5903931188
17	0.5867797075
18	0.5817612448
19	0.5760424378
20	0.5724302651
21	0.5666608989
22	0.5617387736
23	0.5586201861
24	0.5540870594
25	0.5497115555
26	0.5448369717
27	0.5409087661
28	0.5370206919
29	0.5326609009
30	0.5293798684
31	0.5253104693
32	0.5208891456
33	0.518071012
34	0.5141014126
35	0.5116737714
36	0.5076444525
37	0.5053707366
38	0.5027900457
39	0.5013567068
40	0.4985117506
41	0.4962957016
42	0.4940426997
43	0.4907256301
44	0.4885168768
45	0.4865573236
46	0.483625532
47	0.4823504084
48	0.480454022
49	0.4775048262
50	0.4755250244
51	0.4729450344
52	0.4702687518
53	0.4677541959
54	0.4661736298
55	0.4650847546
56	0.4638637427
57	0.4628153091
58	0.4615336521
59	0.4587574937
60	0.4566315687
61	0.4542276996
62	0.4532384032
63	0.4519454121
64	0.4495605526
65	0.4482010895
66	0.4462300595
67	0.4444506923
68	0.4425431008
69	0.4415915382
70	0.4399787983
71	0.438978176
72	0.4380178914
73	0.4367019925
74	0.4358363629
75	0.4342137733
76	0.4323793048
77	0.431191657
78	0.4301378335
79	0.4283808714
80	0.4275343141
81	0.4263059285
82	0.4254030044
83	0.4246609244
84	0.422862668
85	0.4221646073
86	0.4214370168
87	0.419509196
88	0.4186415251
89	0.4176371696
90	0.4170383367
91	0.4164769633
92	0.4157137978
93	0.4140332135
94	0.4125267095
95	0.4118937833
96	0.4110953087
97	0.4102082048
98	0.4095599731
99	0.4087012418
100	0.4079574931
101	0.4073239119
102	0.4067304465
103	0.4057092327
104	0.404812732
105	0.4033149322
106	0.4025343237
107	0.4019724337
108	0.4010928285
109	0.4004808328
110	0.3998944303
111	0.398764433
112	0.3981193289
113	0.3975925426
114	0.3966437079
115	0.3952658108
116	0.3939776767
117	0.3933562819
118	0.3928206384
119	0.3915405258
120	0.3911753598
121	0.3904169693
122	0.3896166137
123	0.3885236178
124	0.3879247585
125	0.3875163208
126	0.3863865179
127	0.3856548981
128	0.3851888907
129	0.3840784801
130	0.3830668794
131	0.3825314991
132	0.3816359166
133	0.380726706
134	0.3797947475
135	0.3793558252
136	0.3786976867
137	0.378187931
138	0.3777633421
139	0.3770699474
140	0.3764452748
141	0.3758547088
142	0.3751412244
143	0.3745459025
144	0.3735837299
145	0.3731112569
146	0.3725264184
147	0.3721106933
148	0.3715264381
149	0.3706067431
150	0.3697615939
151	0.3687113725
152	0.3681452139
153	0.3676451996
154	0.3671019018
155	0.3662394762
156	0.3656377495
157	0.3651991839
158	0.3643285103
159	0.3637644426
160	0.3630601851
161	0.362250163
162	0.3614987704
163	0.3608763387
164	0.3602313901
165	0.3597796047
166	0.359092653
167	0.3582795986
168	0.3577597738
169	0.3573127954
170	0.3568852339
171	0.356423767
172	0.3559464163
173	0.3554255839
174	0.3548063987
175	0.3542974964
176	0.3538567541
177	0.3535039936
178	0.3530048614
179	0.3524614725
180	0.3520552174
181	0.3517008615
182	0.3510724891
183	0.3506541723
184	0.350296663
185	0.3498419142
186	0.3491022531
187	0.3483059467
188	0.3477511957
189	0.347177581
190	0.3468040361
191	0.3460957756
192	0.3456233277
193	0.3452230963
194	0.3446293696
195	0.3442108932
196	0.3437834323
197	0.3430233955
198	0.3426787027
199	0.3423086161
200	0.3419731066
201	0.3412249686
202	0.3409265216
203	0.3405450159
204	0.3401032038
205	0.3396494405
206	0.3389297223
207	0.3384297981
208	0.337994131
209	0.3376321228
210	0.3373440546
211	0.3367671085
212	0.3365005029
213	0.3360147156
214	0.3354787995
215	0.3350785708
216	0.3347548767
217	0.334018995
218	0.3335230821
219	0.3329021398
220	0.3324816464
221	0.3321954636
222	0.3317782471
223	0.3317132887
224	0.331307648
225	0.3309498556
226	0.3306419716
227	0.3302377422
228	0.3297100687
229	0.3291766283
230	0.3287449359
231	0.328385985
232	0.3279405168
233	0.3276002176
234	0.3271618525
235	0.3269218573
236	0.3265802244
237	0.3260826728
238	0.3257827362
239	0.3255350436
240	0.3251031331
241	0.3247718361
242	0.3245361902
243	0.3241697296
244	0.3236772244
245	0.3233190142
246	0.3230261835
247	0.3226067899
248	0.3222006871
249	0.3218202713
250	0.3212070977
251	0.3206798545
252	0.3202371273
253	0.3197851205
254	0.3192226415
255	0.3187709529
256	0.3184779744
257	0.3183289301
258	0.3180129816
259	0.3176352284
260	0.3172718177
261	0.316746126
262	0.3164156313
263	0.3159939529
264	0.3155284935
265	0.3151901831
266	0.3147000858
267	0.3142838944
268	0.3138577551
269	0.3134793729
270	0.3132254796
271	0.3129544143
272	0.3126515626
273	0.3123814688
274	0.3119541081
275	0.3114537906
276	0.3108745757
277	0.3106475458
278	0.3102751934
279	0.3096425873
280	0.3092265711
281	0.3087768798
282	0.3083354398
283	0.307981474
284	0.3076572571
285	0.3073313354
286	0.3068045414
287	0.3064685505
288	0.3061736601
289	0.3058873723
290	0.3056898892
291	0.3051558894
292	0.3048571643
293	0.3044775186
294	0.3040989143
295	0.3037057748
296	0.3031879699
297	0.3029015994
298	0.3025680279
299	0.3020381672
300	0.3018107426
301	0.3014708344
302	0.3012605657
303	0.3007992299
304	0.3003385581
305	0.3000955931
306	0.299528077
307	0.2991866082
308	0.2989798406
309	0.2986395597
310	0.2983290742
311	0.2978029978
312	0.29739007
313	0.2969960787
314	0.2966606724
315	0.2963092304
316	0.2960150692
317	0.2955575655
318	0.2952789258
319	0.2949947683
320	0.2946325941
321	0.2943711976
322	0.2941226145
323	0.2937423161
324	0.2935690957
325	0.2931666546
326	0.2928292558
327	0.2923310252
328	0.291926742
329	0.2915322336
330	0.2913949228
331	0.2911123521
332	0.2907361613
333	0.2904849375
334	0.2902742799
335	0.2900300677
336	0.2896387841
337	0.2893760266
338	0.2889282619
339	0.2886794764
340	0.2883372101
341	0.2880597884
342	0.2877313624
343	0.287694512
344	0.2872953593
345	0.2869819978
346	0.2866053089
347	0.2863262014
348	0.2859164852
349	0.2856217512
350	0.2851098753
351	0.2847817285
352	0.284516512
353	0.2842039618
354	0.2838906136
355	0.2836295382
356	0.2833005112
357	0.283123571
358	0.2829805426
359	0.2827807742
360	0.2825645935
361	0.2823936922
362	0.2819191979
363	0.2815233712
364	0.2813013188
365	0.2809204112
366	0.280638416
367	0.2803130975
368	0.279895503
369	0.2796344014
370	0.2790494334
371	0.2786964739
372	0.2783835057
373	0.2780709036
374	0.2777975383
375	0.2773563442
376	0.2769618059
377	0.2765405047
378	0.2761893579
379	0.2759074358
380	0.2757124056
381	0.2754487045
382	0.2750446873
383	0.2747862261
384	0.274578097
385	0.2741179955
386	0.2737649843
387	0.273564047
388	0.2731312706
389	0.2727377303
390	0.2724661062
391	0.2722122006
392	0.271949251
393	0.271780543
394	0.2713400581
395	0.2710597504
396	0.2707912466
397	0.2704038433
398	0.2700937595
399	0.2697615958
400	0.2693164888
401	0.2689989615
402	0.2686650203
403	0.2684807452
404	0.2682478948
405	0.2681495983
406	0.2680219029
407	0.2677659413
408	0.2675442554
409	0.2672085334
410	0.2668855811
411	0.2668657592
412	0.2666348428
413	0.2662898819
414	0.2660293715
415	0.2657593804
416	0.2655170689
417	0.2652840684
418	0.2650155198
419	0.2647704543
420	0.264532252
421	0.2641195868
422	0.2637981887
423	0.2636133243
424	0.2632660209
425	0.2630408547
426	0.2627927797
427	0.2623917162
428	0.2619238974
429	0.2616146444
430	0.2613954777
431	0.2610180249
432	0.2607128856
433	0.2606817317
434	0.2603110273
435	0.2598442413
436	0.2596459839
437	0.259311557
438	0.2589845952
439	0.2587825133
440	0.2585710052
441	0.2583183391
442	0.2579862742
443	0.2577544711
444	0.257562937
445	0.2572872867
446	0.2570756262
447	0.2567545714
448	0.2566066698
449	0.2563004714
450	0.2560771535
451	0.2557767516
452	0.2556590976
453	0.2555023554
454	0.2553582381
455	0.2551366148
456	0.2549861426
457	0.2548204019
458	0.2545949233
459	0.254392851
460	0.2542769501
461	0.2539530244
462	0.2536835474
463	0.2534454257
464	0.2530951637
465	0.2528784762
466	0.2527485953
467	0.252741542
468	0.2525872809
469	0.2524022209
470	0.2520393156
471	0.2518561864
472	0.2517374657
473	0.2514760261
474	0.2510903833
475	0.2508717491
476	0.2506368538
477	0.2504355543
478	0.2501996136
479	0.2500339097
480	0.2498724738
481	0.2494699743
482	0.2491264542
483	0.2489159839
484	0.248676952
485	0.2483804271
486	0.2481534877
487	0.2479372649
488	0.2476939475
489	0.2474134538
490	0.2471047853
491	0.2469849392
492	0.2467535087
493	0.2464952495
494	0.2462671485
495	0.2459345529
496	0.2456655894
497	0.2454105367
498	0.2452277605
499	0.2449561086
500	0.2446276063
501	0.244415547
502	0.244160119
503	0.243855853
504	0.2435949388
505	0.2432851927
506	0.2429568735
507	0.2427529976
508	0.2424711229
509	0.2422428503
510	0.2419956599
511	0.2417864446
512	0.2415496097
513	0.2412751492
514	0.2410853373
515	0.2408822138
516	0.2406463366
517	0.2404540004
518	0.2401463052
519	0.2399049201
520	0.2395948898
521	0.2393573044
522	0.2391478091
523	0.2389922783
524	0.2388189861
525	0.2386418177
526	0.2385088542
527	0.2383845292
528	0.2381864211
529	0.2379286867
530	0.2375967546
531	0.2373206473
532	0.2370806534
533	0.2368437609
534	0.2366470031
535	0.2365015061
536	0.2362546334
537	0.2360151553
538	0.2358040532
539	0.2355196361
540	0.2353993851
541	0.2352376408
542	0.2350433428
543	0.2346910664
544	0.2345107397
545	0.2342351192
546	0.2339785248
547	0.233684537
548	0.233464768
549	0.2332902736
550	0.2330802234
551	0.2328613725
552	0.2325997154
553	0.232290881
554	0.2320646781
555	0.2319066173
556	0.2318024191
557	0.2316438492
558	0.2314595656
559	0.231306942
560	0.2311821652
561	0.2309557715
562	0.230743198
563	0.2306076466
564	0.2303881561
565	0.2301629677
566	0.2299734612
567	0.2297273104
568	0.2295062306
569	0.2292319249
570	0.2290860275
571	0.2288015065
572	0.2286036151
573	0.228434673
574	0.2281234424
575	0.2278796379
576	0.227749507
577	0.227620077
578	0.2274285574
579	0.2272265943
580	0.2270097569
581	0.2269084774
582	0.2267248462
583	0.2266695389
584	0.2264195476
585	0.2262858411
586	0.2260440646
587	0.2257206407
588	0.2255191197
589	0.2252562246
590	0.2250840758
591	0.2248092128
592	0.2246375449
593	0.2243945402
594	0.2242716222
595	0.2240610486
596	0.223806547
597	0.2236330239
598	0.2234863471
599	0.2233075976
600	0.2231002374
601	0.2229492077
602	0.2228085658
603	0.2224117475
604	0.2222090215
605	0.2220088887
606	0.2218855327
607	0.2216466521
608	0.2215133076
609	0.2212638402
610	0.2211309135
611	0.2207514227
612	0.2203914984
613	0.2202446649
614	0.2200483408
615	0.2198681204
616	0.2196905215
617	0.2193849002
618	0.2191385941
619	0.2189846448
620	0.2187408141
621	0.2184912543
622	0.2181816689
623	0.218097395
624	0.2179328019
625	0.2177453719
626	0.217588843
627	0.2173190882
628	0.2170461825
629	0.2167813363
630	0.2165002664
631	0.2163472428
632	0.216106254
633	0.215897773
634	0.2157208266
635	0.215586522
636	0.2153111671
637	0.2150847157
638	0.2149305942
639	0.2147066954
640	0.214432199
641	0.214071006
642	0.2138510365
643	0.213608276
644	0.2134062186
645	0.2132284117
646	0.2130400626
647	0.2129307777
648	0.2126216867
649	0.2124720576
650	0.2121629962
651	0.2119182978
652	0.2117240903
653	0.2116100331
654	0.2113849584
655	0.2111935623
656	0.2109497501
657	0.2107647629
658	0.2105268577
659	0.2103024547
660	0.2101031926
661	0.2099034333
662	0.2096362445
663	0.2094730603
664	0.2092075059
665	0.2089382775
666	0.2088057098
667	0.2086602073
668	0.2084144427
669	0.2082956009
670	0.2080051328
671	0.207894907
672	0.20765655
673	0.2075527639
674	0.2074305695
675	0.2070895789
676	0.2068915784
677	0.2066723143
678	0.2064728532
679	0.2063012399
680	0.2061788164
681	0.205864759
682	0.2056626499
683	0.2055204336
684	0.2053709419
685	0.2051771778
686	0.2049991227
687	0.2047932351
688	0.2046606814
